register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
95b9cf799f5facd1ce6a,python,market_context.py,1,400,FORMAL_NMD,L1,L1,,,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
af406df7bd047309bb3c,python,market_context.py,2,401,FORMAL_NMD,L2,L2,,,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
a123a50ea83d855107a3,python,market_context.py,3,402,FORMAL_NMD,L3,L3,,,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
343b8632dc4740ac7e43,python,market_context.py,4,403,FORMAL_NMD,L4,L4,,,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
e25476a338af219ce0a9,python,market_context.py,5,404,FORMAL_NMD,L5,L5,,,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
6a6011fe1395112dc162,python,market_context.py,6,405,FORMAL_NMD,L6,L6,,,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
d1aab31b21893a76cae9,python,market_context.py,7,406,FORMAL_NMD,L7,L7,,,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
cf86e3ab254c7ce503ed,python,market_context.py,8,407,FORMAL_NMD,L8,L8,,,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
cc5188bf6c5008b0ea0e,python,market_context.py,9,408,FORMAL_NMD,L9,L9,,,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
1463980af2749f37c2c9,python,market_context.py,10,409,FORMAL_NMD,L10,L10,,,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
36218917cda3b1db8100,python,market_context.py,11,410,FORMAL_NMD,L11,L11,,,CLAUDE chunk-1 disposition market_context.py 1-961,NOT_MARKET_DATA,,,orchestration/tables | line anchored HEAD a4d46c2 market_context.py; quote+pricehistory producer
