register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
fbe376d3fdd93affed13,python,features/parallel_stack_schema.py,1,400,FORMAL_NMD,L1 orchestration,L1_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/parallel_stack_schema.py 1-92,NOT_MARKET_DATA,,,Parallel stack schema contract (no Schwab leaves) | line anchored HEAD b402ba3; Action 12.11 aa13245 fail-closed; FIND-PSS1/PSS2 disclosed slice-only (no production change)
9bc772929314bc6206f6,python,features/parallel_stack_schema.py,2,401,FORMAL_NMD,L2 orchestration,L2_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/parallel_stack_schema.py 1-92,NOT_MARKET_DATA,,,Parallel stack schema contract (no Schwab leaves) | line anchored HEAD b402ba3; Action 12.11 aa13245 fail-closed; FIND-PSS1/PSS2 disclosed slice-only (no production change)
065daad85d1060a41981,python,features/parallel_stack_schema.py,3,402,FORMAL_NMD,L3 orchestration,L3_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/parallel_stack_schema.py 1-92,NOT_MARKET_DATA,,,Parallel stack schema contract (no Schwab leaves) | line anchored HEAD b402ba3; Action 12.11 aa13245 fail-closed; FIND-PSS1/PSS2 disclosed slice-only (no production change)
fbc9245b4a0c7f97af20,python,features/parallel_stack_schema.py,4,403,FORMAL_NMD,L4 orchestration,L4_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/parallel_stack_schema.py 1-92,NOT_MARKET_DATA,,,Parallel stack schema contract (no Schwab leaves) | line anchored HEAD b402ba3; Action 12.11 aa13245 fail-closed; FIND-PSS1/PSS2 disclosed slice-only (no production change)
cc43538fe78fa0d5af7c,python,features/parallel_stack_schema.py,5,404,FORMAL_NMD,L5 orchestration,L5_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/parallel_stack_schema.py 1-92,NOT_MARKET_DATA,,,Parallel stack schema contract (no Schwab leaves) | line anchored HEAD b402ba3; Action 12.11 aa13245 fail-closed; FIND-PSS1/PSS2 disclosed slice-only (no production change)
39bc99a12e83a0884b4d,python,features/parallel_stack_schema.py,6,405,FORMAL_NMD,L6 orchestration,L6_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/parallel_stack_schema.py 1-92,NOT_MARKET_DATA,,,Parallel stack schema contract (no Schwab leaves) | line anchored HEAD b402ba3; Action 12.11 aa13245 fail-closed; FIND-PSS1/PSS2 disclosed slice-only (no production change)
4f009af1161fbc85fe8b,python,features/parallel_stack_schema.py,7,406,FORMAL_NMD,L7 orchestration,L7_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/parallel_stack_schema.py 1-92,NOT_MARKET_DATA,,,Parallel stack schema contract (no Schwab leaves) | line anchored HEAD b402ba3; Action 12.11 aa13245 fail-closed; FIND-PSS1/PSS2 disclosed slice-only (no production change)
b2a502f323cfc1628469,python,features/parallel_stack_schema.py,8,407,FORMAL_NMD,L8 orchestration,L8_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/parallel_stack_schema.py 1-92,NOT_MARKET_DATA,,,Parallel stack schema contract (no Schwab leaves) | line anchored HEAD b402ba3; Action 12.11 aa13245 fail-closed; FIND-PSS1/PSS2 disclosed slice-only (no production change)
f4c00ea247e17bf94d09,python,features/parallel_stack_schema.py,9,408,FORMAL_NMD,L9 orchestration,L9_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/parallel_stack_schema.py 1-92,NOT_MARKET_DATA,,,Parallel stack schema contract (no Schwab leaves) | line anchored HEAD b402ba3; Action 12.11 aa13245 fail-closed; FIND-PSS1/PSS2 disclosed slice-only (no production change)
7b457660bf3f9bfffd57,python,features/parallel_stack_schema.py,10,409,FORMAL_NMD,L10 orchestration,L10_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/parallel_stack_schema.py 1-92,NOT_MARKET_DATA,,,Parallel stack schema contract (no Schwab leaves) | line anchored HEAD b402ba3; Action 12.11 aa13245 fail-closed; FIND-PSS1/PSS2 disclosed slice-only (no production change)
a7eeabeac2e27be6e41e,python,features/parallel_stack_schema.py,11,410,FORMAL_NMD,L11 orchestration,L11_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/parallel_stack_schema.py 1-92,NOT_MARKET_DATA,,,Parallel stack schema contract (no Schwab leaves) | line anchored HEAD b402ba3; Action 12.11 aa13245 fail-closed; FIND-PSS1/PSS2 disclosed slice-only (no production change)
cc3f8b124dd5b3338968,python,features/parallel_stack_schema.py,12,411,FORMAL_NMD,L12 orchestration,L12_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/parallel_stack_schema.py 1-92,NOT_MARKET_DATA,,,Parallel stack schema contract (no Schwab leaves) | line anchored HEAD b402ba3; Action 12.11 aa13245 fail-closed; FIND-PSS1/PSS2 disclosed slice-only (no production change)
33be8abe3cb45db45d3f,python,features/parallel_stack_schema.py,13,412,FORMAL_NMD,L13 orchestration,L13_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/parallel_stack_schema.py 1-92,NOT_MARKET_DATA,,,Parallel stack schema contract (no Schwab leaves) | line anchored HEAD b402ba3; Action 12.11 aa13245 fail-closed; FIND-PSS1/PSS2 disclosed slice-only (no production change)
b97fdae85d12a281ea0d,python,features/parallel_stack_schema.py,14,413,FORMAL_NMD,L14 orchestration,L14_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/parallel_stack_schema.py 1-92,NOT_MARKET_DATA,,,Parallel stack schema contract (no Schwab leaves) | line anchored HEAD b402ba3; Action 12.11 aa13245 fail-closed; FIND-PSS1/PSS2 disclosed slice-only (no production change)
