register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
749884ad98cfe2ed987a,python,features/shared_sequence_context.py,1,400,FORMAL_NMD,L1 orchestration,L1_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
2d4f5e09959fb8d31ee4,python,features/shared_sequence_context.py,2,401,FORMAL_NMD,L2 orchestration,L2_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
5e5c11eae305e5680b71,python,features/shared_sequence_context.py,3,402,FORMAL_NMD,L3 orchestration,L3_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
d30d8d29ef1d52ac4005,python,features/shared_sequence_context.py,4,403,FORMAL_NMD,L4 orchestration,L4_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
95fe1944d8cf45f4c05e,python,features/shared_sequence_context.py,5,404,FORMAL_NMD,L5 orchestration,L5_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
318abaafb8e7f74c64f4,python,features/shared_sequence_context.py,6,405,FORMAL_NMD,L6 orchestration,L6_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
38bde492055fe9515561,python,features/shared_sequence_context.py,7,406,FORMAL_NMD,L7 orchestration,L7_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
6e35d9b1ecdf6b5a5e32,python,features/shared_sequence_context.py,8,407,FORMAL_NMD,L8 orchestration,L8_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
c3646a1ed58ac7bd093a,python,features/shared_sequence_context.py,9,408,FORMAL_NMD,L9 orchestration,L9_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
6504093d60a6dbc1bf98,python,features/shared_sequence_context.py,10,409,FORMAL_NMD,L10 orchestration,L10_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
59c5f21fb219864bc6bb,python,features/shared_sequence_context.py,11,410,FORMAL_NMD,L11 orchestration,L11_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
a224d255aea663d4d4bb,python,features/shared_sequence_context.py,12,411,FORMAL_NMD,L12 orchestration,L12_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
b7b9a5ef409043f72827,python,features/shared_sequence_context.py,13,412,FORMAL_NMD,L13 orchestration,L13_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
54f585bdd9fe34473298,python,features/shared_sequence_context.py,14,413,FORMAL_NMD,L14 orchestration,L14_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
9ea13655e73f50dc94ea,python,features/shared_sequence_context.py,15,414,FORMAL_NMD,L15 orchestration,L15_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
7e6032a2e8d3ce46f2a5,python,features/shared_sequence_context.py,16,415,FORMAL_NMD,L16 orchestration,L16_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
c603f800bd8867f57ac4,python,features/shared_sequence_context.py,17,416,FORMAL_NMD,L17 orchestration,L17_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
3822292f5dd1b5c59b5e,python,features/shared_sequence_context.py,18,417,FORMAL_NMD,L18 orchestration,L18_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
14892bb08b3e9e469606,python,features/shared_sequence_context.py,19,418,FORMAL_NMD,L19 orchestration,L19_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
2433aef5d8bc9df14ef3,python,features/shared_sequence_context.py,20,419,FORMAL_NMD,L20 orchestration,L20_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
8a220b8451042bad882a,python,features/shared_sequence_context.py,21,420,FORMAL_NMD,L21 orchestration,L21_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/shared_sequence_context.py,NOT_MARKET_DATA,,,Shared LSTM/TR sequence prep (one DB fetch per tick) | line anchored HEAD c8703c0; 11/11 features sweep closure; slice-only
