register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
d257df4d5e0c0b0b4508,python,features/fusion_policy_contract.py,1,400,FORMAL_NMD,L1 orchestration,L1_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_policy_contract.py,NOT_MARKET_DATA,,,Fusion policy column mapper (fused_* snapshot fields) | line anchored HEAD a3946e9; Action 12.8 fail-closed; OBS-FPC1/FPC2 disclosed
62d6dbe4913ad8b65de1,python,features/fusion_policy_contract.py,2,401,FORMAL_NMD,L2 orchestration,L2_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_policy_contract.py,NOT_MARKET_DATA,,,Fusion policy column mapper (fused_* snapshot fields) | line anchored HEAD a3946e9; Action 12.8 fail-closed; OBS-FPC1/FPC2 disclosed
1b03558b020a20357745,python,features/fusion_policy_contract.py,3,402,FORMAL_NMD,L3 orchestration,L3_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_policy_contract.py,NOT_MARKET_DATA,,,Fusion policy column mapper (fused_* snapshot fields) | line anchored HEAD a3946e9; Action 12.8 fail-closed; OBS-FPC1/FPC2 disclosed
a66dff72394713353eb5,python,features/fusion_policy_contract.py,4,403,FORMAL_NMD,L4 orchestration,L4_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_policy_contract.py,NOT_MARKET_DATA,,,Fusion policy column mapper (fused_* snapshot fields) | line anchored HEAD a3946e9; Action 12.8 fail-closed; OBS-FPC1/FPC2 disclosed
cfe80d555de435b5fac9,python,features/fusion_policy_contract.py,5,404,FORMAL_NMD,L5 orchestration,L5_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_policy_contract.py,NOT_MARKET_DATA,,,Fusion policy column mapper (fused_* snapshot fields) | line anchored HEAD a3946e9; Action 12.8 fail-closed; OBS-FPC1/FPC2 disclosed
19a457dc0bc844fb6fdf,python,features/fusion_policy_contract.py,6,405,FORMAL_NMD,L6 orchestration,L6_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_policy_contract.py,NOT_MARKET_DATA,,,Fusion policy column mapper (fused_* snapshot fields) | line anchored HEAD a3946e9; Action 12.8 fail-closed; OBS-FPC1/FPC2 disclosed
c8cf9cda09a1161a829c,python,features/fusion_policy_contract.py,7,406,FORMAL_NMD,L7 orchestration,L7_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_policy_contract.py,NOT_MARKET_DATA,,,Fusion policy column mapper (fused_* snapshot fields) | line anchored HEAD a3946e9; Action 12.8 fail-closed; OBS-FPC1/FPC2 disclosed
504e109871b46fe9a168,python,features/fusion_policy_contract.py,8,407,FORMAL_NMD,L8 orchestration,L8_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_policy_contract.py,NOT_MARKET_DATA,,,Fusion policy column mapper (fused_* snapshot fields) | line anchored HEAD a3946e9; Action 12.8 fail-closed; OBS-FPC1/FPC2 disclosed
fb5323dd51470924bebd,python,features/fusion_policy_contract.py,9,408,FORMAL_NMD,L9 orchestration,L9_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_policy_contract.py,NOT_MARKET_DATA,,,Fusion policy column mapper (fused_* snapshot fields) | line anchored HEAD a3946e9; Action 12.8 fail-closed; OBS-FPC1/FPC2 disclosed
fa029c01434b03a2a1cd,python,features/fusion_policy_contract.py,10,409,FORMAL_NMD,L10 orchestration,L10_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_policy_contract.py,NOT_MARKET_DATA,,,Fusion policy column mapper (fused_* snapshot fields) | line anchored HEAD a3946e9; Action 12.8 fail-closed; OBS-FPC1/FPC2 disclosed
1a4b91f139ffdb0c157a,python,features/fusion_policy_contract.py,11,410,FORMAL_NMD,L11 orchestration,L11_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/fusion_policy_contract.py,NOT_MARKET_DATA,,,Fusion policy column mapper (fused_* snapshot fields) | line anchored HEAD a3946e9; Action 12.8 fail-closed; OBS-FPC1/FPC2 disclosed
