register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
4786b6af2a0afdff8901,python,features/db_feature_adapter.py,1,400,FORMAL_NMD,L1 orchestration,L1_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/db_feature_adapter.py 1-50,NOT_MARKET_DATA,,,DB row → canonical MVP adapter (no Schwab leaves) | line anchored HEAD 55dddc8; MSC1 propagation verified; OBS-DBA1 downstream contract validation disclosure
f1a2d27de3a86323fa81,python,features/db_feature_adapter.py,2,401,FORMAL_NMD,L2 orchestration,L2_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/db_feature_adapter.py 1-50,NOT_MARKET_DATA,,,DB row → canonical MVP adapter (no Schwab leaves) | line anchored HEAD 55dddc8; MSC1 propagation verified; OBS-DBA1 downstream contract validation disclosure
8902dc4c1730fe1ef8c8,python,features/db_feature_adapter.py,3,402,FORMAL_NMD,L3 orchestration,L3_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/db_feature_adapter.py 1-50,NOT_MARKET_DATA,,,DB row → canonical MVP adapter (no Schwab leaves) | line anchored HEAD 55dddc8; MSC1 propagation verified; OBS-DBA1 downstream contract validation disclosure
4d05c958e69df438e0ee,python,features/db_feature_adapter.py,4,403,FORMAL_NMD,L4 orchestration,L4_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/db_feature_adapter.py 1-50,NOT_MARKET_DATA,,,DB row → canonical MVP adapter (no Schwab leaves) | line anchored HEAD 55dddc8; MSC1 propagation verified; OBS-DBA1 downstream contract validation disclosure
a34f6a0bd9d1ef2e7cfd,python,features/db_feature_adapter.py,5,404,FORMAL_NMD,L5 orchestration,L5_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/db_feature_adapter.py 1-50,NOT_MARKET_DATA,,,DB row → canonical MVP adapter (no Schwab leaves) | line anchored HEAD 55dddc8; MSC1 propagation verified; OBS-DBA1 downstream contract validation disclosure
92595d4a5e8356e32adc,python,features/db_feature_adapter.py,6,405,FORMAL_NMD,L6 orchestration,L6_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/db_feature_adapter.py 1-50,NOT_MARKET_DATA,,,DB row → canonical MVP adapter (no Schwab leaves) | line anchored HEAD 55dddc8; MSC1 propagation verified; OBS-DBA1 downstream contract validation disclosure
f09ffaf732e04f84fe55,python,features/db_feature_adapter.py,7,406,FORMAL_NMD,L7 orchestration,L7_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/db_feature_adapter.py 1-50,NOT_MARKET_DATA,,,DB row → canonical MVP adapter (no Schwab leaves) | line anchored HEAD 55dddc8; MSC1 propagation verified; OBS-DBA1 downstream contract validation disclosure
f3cc7dc2a6ca5c3e6e66,python,features/db_feature_adapter.py,8,407,FORMAL_NMD,L8 orchestration,L8_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/db_feature_adapter.py 1-50,NOT_MARKET_DATA,,,DB row → canonical MVP adapter (no Schwab leaves) | line anchored HEAD 55dddc8; MSC1 propagation verified; OBS-DBA1 downstream contract validation disclosure
2d48785bed6072b3d5c4,python,features/db_feature_adapter.py,9,408,FORMAL_NMD,L9 orchestration,L9_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/db_feature_adapter.py 1-50,NOT_MARKET_DATA,,,DB row → canonical MVP adapter (no Schwab leaves) | line anchored HEAD 55dddc8; MSC1 propagation verified; OBS-DBA1 downstream contract validation disclosure
1e3a36c80a791bb77b18,python,features/db_feature_adapter.py,10,409,FORMAL_NMD,L10 orchestration,L10_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/db_feature_adapter.py 1-50,NOT_MARKET_DATA,,,DB row → canonical MVP adapter (no Schwab leaves) | line anchored HEAD 55dddc8; MSC1 propagation verified; OBS-DBA1 downstream contract validation disclosure
8de6688cb15bca80be38,python,features/db_feature_adapter.py,11,410,FORMAL_NMD,L11 orchestration,L11_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/db_feature_adapter.py 1-50,NOT_MARKET_DATA,,,DB row → canonical MVP adapter (no Schwab leaves) | line anchored HEAD 55dddc8; MSC1 propagation verified; OBS-DBA1 downstream contract validation disclosure
75c1ea36157bc4fa7893,python,features/db_feature_adapter.py,12,411,FORMAL_NMD,L12 orchestration,L12_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/db_feature_adapter.py 1-50,NOT_MARKET_DATA,,,DB row → canonical MVP adapter (no Schwab leaves) | line anchored HEAD 55dddc8; MSC1 propagation verified; OBS-DBA1 downstream contract validation disclosure
09a15a34a6d39abf6c06,python,features/db_feature_adapter.py,13,412,FORMAL_NMD,L13 orchestration,L13_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/db_feature_adapter.py 1-50,NOT_MARKET_DATA,,,DB row → canonical MVP adapter (no Schwab leaves) | line anchored HEAD 55dddc8; MSC1 propagation verified; OBS-DBA1 downstream contract validation disclosure
