register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
d257df4d5e0c0b0b4508,python,features/fusion_policy_contract.py,1,400,FORMAL_NMD,L1,L1,,,CLAUDE chunk-1 disposition features/fusion_policy_contract.py 1-106,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8; fused_confidence_<hz> producer (I-01 fail-closed)
62d6dbe4913ad8b65de1,python,features/fusion_policy_contract.py,2,401,FORMAL_NMD,L2,L2,,,CLAUDE chunk-1 disposition features/fusion_policy_contract.py 1-106,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8; fused_confidence_<hz> producer (I-01 fail-closed)
1b03558b020a20357745,python,features/fusion_policy_contract.py,3,402,FORMAL_NMD,L3,L3,,,CLAUDE chunk-1 disposition features/fusion_policy_contract.py 1-106,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8; fused_confidence_<hz> producer (I-01 fail-closed)
a66dff72394713353eb5,python,features/fusion_policy_contract.py,4,403,FORMAL_NMD,L4,L4,,,CLAUDE chunk-1 disposition features/fusion_policy_contract.py 1-106,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8; fused_confidence_<hz> producer (I-01 fail-closed)
cfe80d555de435b5fac9,python,features/fusion_policy_contract.py,5,404,FORMAL_NMD,L5,L5,,,CLAUDE chunk-1 disposition features/fusion_policy_contract.py 1-106,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8; fused_confidence_<hz> producer (I-01 fail-closed)
19a457dc0bc844fb6fdf,python,features/fusion_policy_contract.py,6,405,FORMAL_NMD,L6,L6,,,CLAUDE chunk-1 disposition features/fusion_policy_contract.py 1-106,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8; fused_confidence_<hz> producer (I-01 fail-closed)
c8cf9cda09a1161a829c,python,features/fusion_policy_contract.py,7,406,FORMAL_NMD,L7,L7,,,CLAUDE chunk-1 disposition features/fusion_policy_contract.py 1-106,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8; fused_confidence_<hz> producer (I-01 fail-closed)
504e109871b46fe9a168,python,features/fusion_policy_contract.py,8,407,FORMAL_NMD,L8,L8,,,CLAUDE chunk-1 disposition features/fusion_policy_contract.py 1-106,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8; fused_confidence_<hz> producer (I-01 fail-closed)
fb5323dd51470924bebd,python,features/fusion_policy_contract.py,9,408,FORMAL_NMD,L9,L9,,,CLAUDE chunk-1 disposition features/fusion_policy_contract.py 1-106,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8; fused_confidence_<hz> producer (I-01 fail-closed)
fa029c01434b03a2a1cd,python,features/fusion_policy_contract.py,10,409,FORMAL_NMD,L10,L10,,,CLAUDE chunk-1 disposition features/fusion_policy_contract.py 1-106,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8; fused_confidence_<hz> producer (I-01 fail-closed)
1a4b91f139ffdb0c157a,python,features/fusion_policy_contract.py,11,410,FORMAL_NMD,L11,L11,,,CLAUDE chunk-1 disposition features/fusion_policy_contract.py 1-106,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8; fused_confidence_<hz> producer (I-01 fail-closed)
315ba0d4b496a4a7652c,python,features/fusion_policy_contract.py,12,411,FORMAL_NMD,L12,L12,,,CLAUDE chunk-1 disposition features/fusion_policy_contract.py 1-106,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8; fused_confidence_<hz> producer (I-01 fail-closed)
ea31afee451134d6a042,python,features/fusion_policy_contract.py,13,412,FORMAL_NMD,L13,L13,,,CLAUDE chunk-1 disposition features/fusion_policy_contract.py 1-106,NOT_MARKET_DATA,,,orchestration | line anchored HEAD d3f0ce8; fused_confidence_<hz> producer (I-01 fail-closed)
