register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
3482b67bd866f3946ace,python,features/mvp_source_coercion.py,1,400,FORMAL_NMD,L1 orchestration,L1_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/mvp_source_coercion.py,NOT_MARKET_DATA,,,MVP source coercion boundary (no Schwab leaves) | line anchored HEAD c9a185e; FIND-MSC1 _require_mapping non-Mapping parent fail-closed
606b9a39f7c6b04b13a5,python,features/mvp_source_coercion.py,2,401,FORMAL_NMD,L2 orchestration,L2_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/mvp_source_coercion.py,NOT_MARKET_DATA,,,MVP source coercion boundary (no Schwab leaves) | line anchored HEAD c9a185e; FIND-MSC1 _require_mapping non-Mapping parent fail-closed
38fafa8101edb8a68a9d,python,features/mvp_source_coercion.py,3,402,FORMAL_NMD,L3 orchestration,L3_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/mvp_source_coercion.py,NOT_MARKET_DATA,,,MVP source coercion boundary (no Schwab leaves) | line anchored HEAD c9a185e; FIND-MSC1 _require_mapping non-Mapping parent fail-closed
360618af76e762b5b0f5,python,features/mvp_source_coercion.py,4,403,FORMAL_NMD,L4 orchestration,L4_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/mvp_source_coercion.py,NOT_MARKET_DATA,,,MVP source coercion boundary (no Schwab leaves) | line anchored HEAD c9a185e; FIND-MSC1 _require_mapping non-Mapping parent fail-closed
7a69ea4fd172c56bf309,python,features/mvp_source_coercion.py,5,404,FORMAL_NMD,L5 orchestration,L5_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/mvp_source_coercion.py,NOT_MARKET_DATA,,,MVP source coercion boundary (no Schwab leaves) | line anchored HEAD c9a185e; FIND-MSC1 _require_mapping non-Mapping parent fail-closed
bdb6ea9fc9f65728e233,python,features/mvp_source_coercion.py,6,405,FORMAL_NMD,L6 orchestration,L6_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/mvp_source_coercion.py,NOT_MARKET_DATA,,,MVP source coercion boundary (no Schwab leaves) | line anchored HEAD c9a185e; FIND-MSC1 _require_mapping non-Mapping parent fail-closed
950936d43dff504bd2ea,python,features/mvp_source_coercion.py,7,406,FORMAL_NMD,L7 orchestration,L7_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/mvp_source_coercion.py,NOT_MARKET_DATA,,,MVP source coercion boundary (no Schwab leaves) | line anchored HEAD c9a185e; FIND-MSC1 _require_mapping non-Mapping parent fail-closed
bd2f83380b5c23178653,python,features/mvp_source_coercion.py,8,407,FORMAL_NMD,L8 orchestration,L8_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/mvp_source_coercion.py,NOT_MARKET_DATA,,,MVP source coercion boundary (no Schwab leaves) | line anchored HEAD c9a185e; FIND-MSC1 _require_mapping non-Mapping parent fail-closed
0c9bf460c02d10aeb712,python,features/mvp_source_coercion.py,9,408,FORMAL_NMD,L9 orchestration,L9_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/mvp_source_coercion.py,NOT_MARKET_DATA,,,MVP source coercion boundary (no Schwab leaves) | line anchored HEAD c9a185e; FIND-MSC1 _require_mapping non-Mapping parent fail-closed
7a35e099b355fb7c119f,python,features/mvp_source_coercion.py,10,409,FORMAL_NMD,L10 orchestration,L10_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/mvp_source_coercion.py,NOT_MARKET_DATA,,,MVP source coercion boundary (no Schwab leaves) | line anchored HEAD c9a185e; FIND-MSC1 _require_mapping non-Mapping parent fail-closed
4b95b1103e1c13055887,python,features/mvp_source_coercion.py,11,410,FORMAL_NMD,L11 orchestration,L11_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/mvp_source_coercion.py,NOT_MARKET_DATA,,,MVP source coercion boundary (no Schwab leaves) | line anchored HEAD c9a185e; FIND-MSC1 _require_mapping non-Mapping parent fail-closed
ad34ebd251a0ef7ba3ea,python,features/mvp_source_coercion.py,12,411,FORMAL_NMD,L12 orchestration,L12_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/mvp_source_coercion.py,NOT_MARKET_DATA,,,MVP source coercion boundary (no Schwab leaves) | line anchored HEAD c9a185e; FIND-MSC1 _require_mapping non-Mapping parent fail-closed
08f3c3163559c994738a,python,features/mvp_source_coercion.py,13,412,FORMAL_NMD,L13 orchestration,L13_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/mvp_source_coercion.py,NOT_MARKET_DATA,,,MVP source coercion boundary (no Schwab leaves) | line anchored HEAD c9a185e; FIND-MSC1 _require_mapping non-Mapping parent fail-closed
d515c59dcaf6605d62e4,python,features/mvp_source_coercion.py,14,413,FORMAL_NMD,L14 orchestration,L14_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/mvp_source_coercion.py,NOT_MARKET_DATA,,,MVP source coercion boundary (no Schwab leaves) | line anchored HEAD c9a185e; FIND-MSC1 _require_mapping non-Mapping parent fail-closed
