register_id,language,path,line,col,pattern_kind,surface_form,tokens,csv_candidates,csv_lexical_topk_note,v2_trace,disposition,canonical_field_citation,governed_ref,notes
84c0c7e412542d28cdd7,python,features/xgb_model_input.py,1,400,FORMAL_NMD,L1 orchestration,L1_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
6528c6617579843bcf73,python,features/xgb_model_input.py,2,401,FORMAL_NMD,L2 orchestration,L2_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
ffc78499167dc859a5cd,python,features/xgb_model_input.py,3,402,FORMAL_NMD,L3 orchestration,L3_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
c8a219b08995fed714c7,python,features/xgb_model_input.py,4,403,FORMAL_NMD,L4 orchestration,L4_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
d27cbd5035e1b4605bb6,python,features/xgb_model_input.py,5,404,FORMAL_NMD,L5 orchestration,L5_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
ecc688d8ae68caed6a2b,python,features/xgb_model_input.py,6,405,FORMAL_NMD,L6 orchestration,L6_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
757634d71641c904eacb,python,features/xgb_model_input.py,7,406,FORMAL_NMD,L7 orchestration,L7_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
e8b2dddec8be642669a3,python,features/xgb_model_input.py,8,407,FORMAL_NMD,L8 orchestration,L8_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
adbcae05608b0034531a,python,features/xgb_model_input.py,9,408,FORMAL_NMD,L9 orchestration,L9_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
a7f91245694f7e21c9c4,python,features/xgb_model_input.py,10,409,FORMAL_NMD,L10 orchestration,L10_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
c60ab5a2c1991740f108,python,features/xgb_model_input.py,11,410,FORMAL_NMD,L11 orchestration,L11_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
98baf313810e9aecf521,python,features/xgb_model_input.py,12,411,FORMAL_NMD,L12 orchestration,L12_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
2f01ea3d741dcc61d5a3,python,features/xgb_model_input.py,13,412,FORMAL_NMD,L13 orchestration,L13_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
6790982dd52d62a4a287,python,features/xgb_model_input.py,14,413,FORMAL_NMD,L14 orchestration,L14_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
94318be7b345d69ced88,python,features/xgb_model_input.py,15,414,FORMAL_NMD,L15 orchestration,L15_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
1167a9842da0273d1e93,python,features/xgb_model_input.py,16,415,FORMAL_NMD,L16 orchestration,L16_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
f22180dd3defbd9d3314,python,features/xgb_model_input.py,17,416,FORMAL_NMD,L17 orchestration,L17_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
4cce0e217f69fbba4e23,python,features/xgb_model_input.py,18,417,FORMAL_NMD,L18 orchestration,L18_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
a7a44576d17048a505c8,python,features/xgb_model_input.py,19,418,FORMAL_NMD,L19 orchestration,L19_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
efb34500d5ee086a1f0f,python,features/xgb_model_input.py,20,419,FORMAL_NMD,L20 orchestration,L20_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
9c4f9fc59028a9c0be4d,python,features/xgb_model_input.py,21,420,FORMAL_NMD,L21 orchestration,L21_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
718081d45276a082f7a6,python,features/xgb_model_input.py,22,421,FORMAL_NMD,L22 orchestration,L22_orchestration,,,CLAUDE Layer 5 chunk-1 disposition features/xgb_model_input.py 1-151,NOT_MARKET_DATA,,,XGB InferenceSnapshotV1 adapter (no Schwab leaves) | line anchored HEAD 85c2117; InferenceSnapshotV1 XGB tabular path; FIND-XGB1/XGB2 disclosed slice-only pending ml_predict caller audit
